district_area_id,district_area_name,mission_count_all,mission_count_ems,mission_count_ems_critical,mission_count_ems_critical_cpr,mission_count_fire,mission_count_technical_rescue,mission_count_ems_critical_timegoal_reached,mission_count_fire_timegoal_reached,response_time_ems_critical_mean,response_time_ems_critical_std,response_time_ems_critical_cpr_mean,response_time_ems_critical_cpr_std,response_time_fire_time_to_first_pump_mean,response_time_fire_time_to_first_pump_std,response_time_fire_time_to_first_ladder_mean,response_time_fire_time_to_first_ladder_std,response_time_fire_time_to_full_crew_mean,response_time_fire_time_to_full_crew_std,response_time_technical_rescue_mean,response_time_technical_rescue_std
81004,Rixdorf,4983,4597,3699,41,197,189,1594,28,631.1560693641618,198.3321087495713,486.16,101.56675965426223,581.7716535433071,148.64329247043216,715.5,244.25010514099296,824.7673939393941,225.68475279745022,1029.2836879432625,374.8478991774271
81005,Köllnische Heide,2497,2247,1870,21,119,130,559,36,690.2283696291936,192.3793571944474,571.5625,120.31678672016913,617.1,129.69912602303543,692.1,145.24797031750882,829.7725833333335,163.08898472265147,922.6481481481482,298.3388374971576
82006,Britz Nord,3173,2936,2381,26,116,120,1140,27,626.5882626921285,198.34685137466192,460.0952380952381,81.50760992809491,584.7625,101.43118185202586,689.6935483870968,173.88894031608714,781.188088235294,153.4915329796615,901.5411764705882,398.87083339935333
82007,Britz,3404,3197,2622,48,99,107,1064,11,663.5966244725738,223.02164189486328,521.921052631579,143.75342657799874,655.0731707317074,148.27312471312908,821.6136363636364,181.57812283820454,889.6115625,307.0601146878721,952.2207792207793,408.120616310031
82008,Buckow,3206,3047,2514,35,61,98,640,5,715.2141912736888,195.2907070874328,566.3703703703703,88.29763832896626,715.32,142.72371912194552,840.9285714285714,177.4827959469392,841.283375,159.9091069870966,1071.0434782608695,431.8177527745394
83009,Gropiusstadt West,3255,3078,2524,39,80,94,1279,15,629.4092526690391,231.25499355923375,481.65625,108.50170486991168,675.0909090909091,273.01309076173015,864.0833333333334,240.5404994674659,831.8749523809523,88.86920211101044,830.9577464788732,388.34787191087605
83010,Gropiusstadt Ost,2694,2502,2095,33,100,92,955,20,654.9744408945687,220.2733865522767,498.76,91.110866530837,584.575,114.31757105223173,753.7916666666666,155.0387677438972,854.25628,267.9759079448686,832.2571428571429,287.8457057358317
84011,Buckow Nord,2213,1334,1081,16,65,35,548,23,599.0331905781585,237.36972389314133,459.0,114.42527193388206,601.4516129032259,165.95779357207616,696.9714285714285,135.9726368913734,744.24775,70.07257332176965,846.3793103448276,436.32355407697685
84012,Rudow,5011,4745,3946,64,95,170,1635,15,649.3345886442642,212.01357134280607,504.4146341463415,135.98859797971227,563.6875,143.14806443352225,749.225,90.92501489322584,749.9065,83.05311922137545,893.343137254902,325.2104724452766
91001,Alt-Treptow,1814,1675,1314,16,65,73,462,7,674.2493506493506,196.18865860044738,559.0,91.4306051361116,676.4,134.96518069487405,774.9444444444445,205.61572264013617,924.7881428571427,197.27260273456713,993.4727272727273,370.0474871701506
